,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
story_idx,-0.12169801293490753,0.213323353059406,-0.11212259081370342,-0.11435647806614686,0.2618229596755182,-0.3232167210680134,0.22734842898280727,0.05912758820444374,0.6916983785800799,0.10535967715251696,-0.32916237249414876,0.26503281126503964,0.06554515425472346,-0.04487297718646816,0.016536411982563597,-0.02941627471788256
coherence_analysis.best_num_topics,-0.05543849464941952,0.06640087507436099,0.09941713787971025,0.23519135695947527,-0.046128920580122336,0.6377722273188337,-0.31764963196278717,0.5180701156727158,0.3694350110466842,-0.0035749050624176854,-0.07785773829294998,-0.006473777274611847,-0.007183213803480477,-0.0243629960784117,-0.04194588367681781,0.04433231066671507
originality_analysis.log_likelihood,0.23810928464058184,-0.28322466289398773,0.2456153601725635,-0.28894641048987874,0.007425787140281459,-0.034061604751218014,-0.07217073654683365,0.03300012223113791,0.16893050328757875,-0.007425731238674223,-0.011554860648979853,-0.2576014098192412,-0.1461283217772603,-0.3606595764389136,-0.007052537173688773,-0.09074250341695825
stylistic_analysis.linguistic_metrics.lexical_diversity.MTLD,-0.0004977066088473933,-0.010609385020556568,0.16390798765306974,-0.06352942755518232,-0.03207455491341822,0.5930725377574129,0.6593653252059379,-0.40680966627228027,0.10560999263967952,-0.031175993195537547,-0.015208689237931793,0.037276915477994034,-0.007394706901196938,-0.010739084315566758,0.010109970150863635,-0.009686314965546998
stylistic_analysis.linguistic_metrics.average_sentence_length,0.25856222349172636,0.3536842168612367,0.1476068430949908,-0.013799480554786926,-0.07236801259910686,-0.021638494057320493,0.01863895811175661,0.029412460044764832,-0.08806777614522714,0.10307705352070985,-0.0595312193282061,-0.06716478594770563,0.1902627868881629,-0.20107844784614604,0.10637782567077204,0.10813983379155491
stylistic_analysis.linguistic_metrics.dependency_variety,0.28537960436618326,-0.252198518954388,0.06234516648877109,0.15070098942812693,-0.013417608861245916,-0.08369342230344018,-0.015948373031495308,-0.07562250337870391,0.08575932610567606,-0.09689473565737529,-0.0996239197597692,-0.06845746573461153,-0.14685895671361598,-0.1265849303340336,0.05365168579806856,0.19211412009419437
stylistic_analysis.linguistic_metrics.sentence_complexity_index,0.2051569505645607,0.282836587944881,0.2795286592288445,0.11051844492511331,-0.22443663985719764,-0.11542762930392224,0.19731670659963668,0.2525958068167249,-0.11298851677395017,0.10482530142322274,0.020671240463083478,0.01785285583701405,0.30897246383718696,-0.14882576896847108,0.44097579841710005,-0.05706516174803885
stylistic_analysis.linguistic_metrics.average_tree_depth,0.14612555188465606,0.31823554334932175,0.2568516696663883,-0.01732195385871804,0.06918066390384327,0.06196363684695162,-0.3818156758798928,-0.4357951867861149,0.18360123920240973,0.029114672764354265,0.14886683286338728,-0.0011116355738912185,0.007290099364051566,0.08706935083066605,0.1903029368786235,-0.13137463781256434
stylistic_analysis.linguistic_metrics.max_subordination_depth,0.2053825352668941,-0.05535565875061105,0.24684073843073037,0.1926065302503607,-0.21182310275606894,-0.20431017194988804,0.23438745130041175,0.226662190368747,0.1693536942211718,-0.1494436293755771,0.48318218783457095,0.40047788604433465,-0.37201813453439725,0.09244169259111439,-0.11381942771021356,-0.05516242145508956
stylistic_analysis.rhetorical_devices.total_count,0.13176214481597925,-0.2624433449381074,0.19794380036263445,-0.3711940071480335,0.09834423877364218,0.14012595738931008,-0.14960207761648617,0.06434004843808833,-0.20462945593040033,0.479069269358403,-0.06838816543620864,0.5962482414187433,0.14064409332088407,0.08564360569410798,-0.0803079710140221,0.025118629370516413
stylistic_analysis.sentence_rhythm.std_dev_sentence_length,0.21269461749087798,0.3354405276141295,0.19414862003310834,-0.043999807751296145,-0.04751286272192473,-0.0312973333131525,-0.23005123722618778,-0.27876692926782337,0.11602423760013884,0.009512479206869552,-0.013585478519229385,-0.00756919719496586,-0.1849223740639086,0.16748103040747453,-0.405901459314596,0.19031059045684323
sentiment_analysis.average_sentiment,0.05946152647039264,0.11613678706936072,0.17686795207121134,-0.02848838973555684,0.7396507807341918,0.07064459498099328,0.003981648935540441,0.12475733416941392,-0.238495901159238,-0.49631118247616424,0.017828982109769523,0.16734175888109012,-0.06671425163150528,-0.07941989670711898,0.12745786507958862,0.10792848837769597
sentiment_analysis.sentiment_volatility,0.12266055988762738,-0.08007933389570936,0.07974176612929895,0.4442850748250078,0.49001450107476885,-0.04026842199260218,0.1444283111511651,0.0182269965008602,-0.002128458026739327,0.6038931490070758,0.15058545757051664,-0.29829391803834493,-0.08967696060949525,0.09761861114596243,-0.05222075708515544,-0.07993323412625049
sentiment_analysis.emotional_richness,0.16390480081727232,-0.2983757426419436,0.3730279258725663,-0.05060349422694874,-0.014845361090537693,-0.1259178273600154,0.0796054711214207,0.1011090597649789,0.11865059533419299,-0.2014181436239015,-0.2739701763426236,-0.24284618564695157,0.30585199406765684,0.5880978279135435,-0.01055394207633662,0.15615082508063424
thematic_analysis.entropy_score,0.1604803147579111,-0.20177173470905974,0.029469479929677297,0.5314959823893907,-0.037828460821907106,-0.02882200373761564,-0.12553803088179774,-0.26397613793463964,-0.032901727128882605,-0.16766525616376438,-0.34740340054643637,0.314381730978972,0.23833373303631059,-0.23486273852310854,-0.13484359881547833,-0.3414963895625888
readability_metrics.flesch_reading_ease,-0.2773953820773522,-0.17855063362058282,0.23444869064844706,0.14048467115339563,0.008913564745206005,-0.09163698667824989,-0.017740596768800177,-0.0790199828822911,0.07096927087404536,0.010415999318764886,0.17290281009262184,-0.010276631190012505,0.20378690560966312,-0.3568263364378671,-0.23987631150430214,0.38799685638815834
readability_metrics.smog_index,0.281244686271465,0.010778590005268153,-0.27428086913058586,-0.03313949053951478,0.07387430961653683,0.07211615345069548,0.028819010818926544,0.07769596478840228,0.05675752447440297,-0.14214543486956552,0.2701807290043032,-0.06478768850556607,0.3538321590375799,0.18470592817712822,-0.2737184364717471,-0.40772599814907506
readability_metrics.coleman_liau_index,0.3041374783823075,-0.026842662776816066,-0.3268919506910331,-0.0408806028481083,0.05934029999404474,0.07535398911979,-0.010851641773901388,-0.014514329408034593,0.06325508463169549,-0.012933076321745986,0.1265307087073647,0.10933419431496119,-0.007012431647486712,0.09516357652976733,0.1721965394128381,0.11890497785712208
readability_metrics.dale_chall_readability_score,0.2585889985119155,-0.15008621713256248,-0.3203473617789156,0.19860385159715074,-0.06590786504780158,0.06837992227467228,-0.06556319312484192,-0.12294370193500676,0.05677143110697453,0.04277985678317816,-0.13479224874350793,0.1126453511197954,-0.18205311690181147,0.11644467686588829,0.36951745477653114,0.38826878717610236
readability_metrics.difficult_words,0.2839905275034114,-0.2123589436003526,-0.0704376651133871,-0.29306799919545,0.05948587845822975,0.029394932439991233,-0.043322836675065333,0.016980905829303873,0.1921409841135983,-0.008315054496331969,0.03369233241254485,-0.1687925480246175,-0.07838227139728757,-0.31405623151333706,0.0807438410438066,-0.21122734225402665
readability_metrics.linsear_write_formula,0.24411013838975418,0.23400749638489593,-0.02974409117408094,-0.013558165786645293,-0.06206191402106148,0.011276982943872456,0.17796157115451608,0.20677930391290775,-0.27276704633549326,0.04414845166997737,-0.47818574325060376,-0.06532680566389035,-0.34557957936560313,-0.061595947008683226,-0.35134210710852937,-0.04581521230279329
readability_metrics.text_standard,0.28643431628588983,0.10289837025564959,-0.2440902352768286,-0.02401453444278809,0.034968869210990544,0.025445120893773262,0.09898741512443045,0.03919319191233695,0.03050616747996205,-0.007529345112469908,0.15883966023850654,0.0010847053913538671,0.37450757194533746,-0.18370332047742563,-0.32078113996070756,0.43863617357376605
