,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
story_idx,0.03099645603385984,0.03338220908907796,0.07316103860738807,-0.04145111838794004,-0.32607463664896436,0.41356865353940614,-0.0569000394748213,0.3601027063928256,0.3092282664993372,-0.20203620107354414,0.24551756425151608,0.11617688676899446,-0.12869900456547295,0.1259116024433461,-0.15652328842060423,-0.1717790196377603,0.10903761698149564,-0.21978598840343583,-0.11337892238351632,-0.2854043502343168,0.04822849297897846,0.09569930389835814,0.10249442547526715,-2.0166753677549504e-05,0.058193603099726654
coherence_analysis.best_num_topics,-0.008178990657283839,0.004628445750667428,0.041340001285656416,-0.24380308802801434,0.12803791302213527,0.23645529271326512,-0.1223905968590983,0.11728677590001954,0.44480079996009786,0.5970013993324867,0.03638542547304868,0.1458192010902472,0.08088381246768775,0.07258950149665347,0.17084205215070403,-0.01091676884782326,-0.337914808385812,0.16524989728170283,0.01911239216627138,0.03810474071203254,0.12616870072837993,-0.07588930916809933,0.06860319901444335,0.07079360464508976,-0.033714534253337904
originality_analysis.log_likelihood,0.2613284124277466,0.07442036070268311,0.20352293970316762,-0.09215687496805386,0.1676038552290906,-0.08837745780393844,-0.09490216936058823,0.10888455334488305,0.11808182507775318,-0.01986647166394037,0.034884950512370186,-0.057272518388353795,0.17294788942222622,0.07504678323816295,-0.16106592214373727,-0.17125446243485276,0.31389418920521484,-0.05715192300991819,0.20458997569120135,0.1495073211241282,0.015755590287829465,0.04529701748318353,-0.01385938729087281,-0.2278217851406333,-0.026122753851037066
stylistic_analysis.linguistic_metrics.lexical_diversity.MTLD,-0.10066924798338663,-0.018913386384691772,0.05104937366668723,-0.05418353026628666,-0.28392255055199367,-0.35495833759528544,0.46688889850537935,0.11009421891694786,0.21892136174491103,-0.03521399392964251,-0.06251525151689401,0.027434607674772706,0.005409752345355457,0.2606342767354866,-0.08230694204303766,0.42239295045941905,-0.2677656173610426,-0.011884111504014938,-0.08333592538524469,-0.008230590709070933,0.10706132358850129,0.032400660272590476,-0.025771755629964845,-0.1365130710152626,-0.016878083665244212
stylistic_analysis.linguistic_metrics.average_sentence_length,-0.20732828000751197,-0.2551670269478253,0.17335339976761588,-0.05161872007229453,0.06827788291644041,0.1244210803522447,0.04072110456425188,0.05242581741901838,-0.06426405886505558,0.07739308963474291,-0.01673369013326183,-0.14538620448970613,-0.0957480039469608,-0.1947272607877869,0.10838601302097069,0.17685675705359402,0.04978182529429386,-0.172005461277544,-0.035834298145914004,-0.15454943251225078,0.22693419285036825,-0.13448648186384832,-0.16685877122651227,0.09024855804646763,-0.13174066137443308
stylistic_analysis.linguistic_metrics.num_subordinate_clauses,0.05959086347862896,0.18492245787621697,0.28103707250289156,-0.15512164380170954,0.39067650571199725,-0.016289065782734855,0.14404874809501497,-0.0011011658224503158,0.15475108846513674,-0.003699855908762624,0.12869198736444043,-0.03854010086992038,0.09175408070158918,-0.05792693005092607,-0.1594595239650085,-0.0017080922197270506,0.17585841973898386,0.05700581976175262,-0.12501359132730447,0.06845583934291477,0.14903151876659182,-0.16755949324419825,-0.06507780676991973,-0.27592237744596954,-0.058145981459646
stylistic_analysis.linguistic_metrics.dependency_variety,0.004233231792479634,0.22355846216133338,0.25054352280610853,-0.031114551304778946,0.17684572117235597,-0.14800544420404327,0.06857962315234788,0.23984616351440177,-0.14041184550605715,0.03120590081732886,-0.30472387889950886,-0.14535204825611656,0.017141415305820168,0.007388680484412448,-0.30937158069085036,0.039398420753099066,-0.20595299495905922,-0.19998177752080148,0.14343873061925502,-0.06687874443889437,0.2136534002101339,0.03964649652128176,0.33959055611584926,0.15273965021773825,0.1648860755578615
stylistic_analysis.linguistic_metrics.average_tree_depth,0.09287974195884417,-0.31736948606248655,0.03813434001860794,0.03188423233640432,0.13086742834661405,0.10031892407962918,-0.05507887377300295,-0.08634411055941991,-0.12495293239126054,-0.1127862451429979,0.1466227243355075,0.2067081822768376,-0.036884638162255436,0.042394061263337834,-0.09979518845065644,0.1371660029304274,-0.07712269875350988,0.4237831793280508,0.09311965855394652,0.02914860098302306,0.34090680827317543,0.16427444649423653,-0.07077071553751678,-0.23234373972252906,0.4657388280366525
stylistic_analysis.linguistic_metrics.max_subordination_depth,-0.06564961971673298,0.07113352229995058,0.1531477461585887,-0.15695293638413818,0.30973104111196603,-0.19641467209842092,0.2687370210364184,-0.12860615667957115,0.18340947384004497,-0.16939774986258008,0.4467805613802347,0.23777283494385756,-0.2283995028829311,-0.21496412770365994,0.17011178161657944,0.04441135896933205,0.005854368630054854,-0.17845799401703882,-0.001707565855973035,0.08127476804260518,-0.2221971306314596,0.11358046126843328,0.02178807506840768,0.27660568027898597,0.1038919351620576
stylistic_analysis.rhetorical_devices.counts.metaphors,0.3081575407943522,-0.042172521493153516,0.018629166711807442,-0.004990798017263648,-0.023116358518379707,-0.1544843851933708,-0.08984793542899054,-0.02062020216617961,0.02849725646416303,-0.004533636065874687,0.016202593328337605,-0.12106109266351561,0.2158280537609924,-0.13997124381288617,0.23575333568417278,-0.015407978601577312,-0.085353056277168,-0.06169916042066613,0.028687235009963136,0.008851762501120035,0.21746585274752295,0.015072995954169704,-0.16173907279131758,0.0876664813410591,-0.35249305044456997
stylistic_analysis.rhetorical_devices.counts.similes,0.06420166914162873,0.043405423549403105,0.14690680002235532,-0.16180882118440915,0.03384727334360444,0.4432979158335332,-0.023666926496241712,-0.34532315758834825,0.10025999928145303,-0.4424468784749729,-0.1804268784545234,-0.0836147745335367,-0.018160676792247105,0.1916782378741821,-0.08939666928102263,0.16550477750201043,-0.22494761776538658,-0.024951464709742178,0.0006445122776836578,0.2359261030587464,0.026238960881090925,-0.23984547581801566,-0.17892678596787134,0.18909746849629536,-0.021453766948352857
stylistic_analysis.rhetorical_devices.counts.alliteration,0.2900342196399441,-0.009407046566967035,0.0512236453763074,-0.08345064973131988,-0.06712276713229966,-0.027629045948924895,-0.1351099926452084,-0.14207218503895874,0.008543946732036992,0.1318830846327216,-0.014453316992790849,-0.10379332056235363,0.12236397790229535,-0.08797659938022796,0.01532871110476079,0.1596983759883989,-0.11690693427517554,-0.3200289627406,-0.22407287885347527,-0.10210805796484577,-0.3205381502280332,-0.21770580845208085,0.021578092111257153,-0.2470708826981957,0.4131211388443076
stylistic_analysis.rhetorical_devices.counts.irony,-0.2837578300937999,0.059457419559335443,0.19812778410625842,-0.02196194131095862,-0.04009987762131018,-0.049263302306586904,-0.05132346186646279,-0.059684161324714935,0.05312212462702199,-0.05515242934248288,-0.14155776487215305,0.0026992872355900855,0.05975395822090696,-0.006722709568764853,0.09223450092231057,-0.09866913199445156,-0.021117690057015477,0.15654204806021674,-0.1181698667203655,-0.31603916236769997,-0.18345382268898863,0.11814114370647238,-0.2661306570081457,-0.3118149537138565,-0.07361833636558021
stylistic_analysis.rhetorical_devices.counts.personification,0.3101053040523286,0.006981213273817312,0.03515998998829187,-0.0029606075162571573,-0.09940467442338512,0.013176801716340242,0.10327244557389915,0.027034339958986475,-0.03461850062845317,-0.020707594736683432,0.06885355852500961,-0.09540453942531162,0.09365962136326494,-0.1606743810790037,0.04007515394933993,-0.06749371362291308,-0.0776930932145698,0.05827184215612915,0.05275954475031613,-0.3446099688239257,0.05828691457093118,0.11800092486334585,-0.06035758853946679,0.3355807959963291,0.30706688923623965
stylistic_analysis.rhetorical_devices.counts.hyperbole,-0.11176773746697764,0.07781930177801871,0.2443511317207783,-0.17010319179435046,-0.3385944158784564,0.10831263892986173,0.005457043800432351,-0.10448017858279786,-0.03513174196061497,0.16496931177168306,-0.10109890501247276,-0.07210731188734656,-0.12980724489051457,-0.17172305647957917,0.3307623602849809,0.2621293837485791,0.42780039666028946,0.04517321534423705,0.13439662388572002,0.21057801535906623,0.0880362898783284,0.06194129647006421,0.28013520746137577,-0.07712731798528408,0.1998795085932551
stylistic_analysis.rhetorical_devices.counts.oxymoron,0.09527965598481496,0.01065011521186444,0.14292106721681253,0.44850224197832395,0.019155326447684973,0.04705434521879201,-0.007513472909365539,0.06756844606511468,0.19827671783732867,0.17824413387782298,-0.011940284123453073,-0.25026637264225965,-0.43738131008354497,-0.24977291261929252,-0.1779454268467097,0.004560850620464578,-0.22049764949811476,0.1266310556484074,0.2068748101430389,0.1536548199381181,-0.23423825132049428,0.12738195456625642,-0.20162047819690648,-0.049330377713609506,0.03659076157171144
stylistic_analysis.rhetorical_devices.counts.synesthesia,0.07294901270049194,-0.021589569157304648,-0.027764538535623783,-0.3237180046028189,-0.13782332366207145,0.09360531082017763,0.4457744348116027,-0.04825588443012306,-0.3163725733925396,0.3084062168333084,-0.11629481583095172,0.18562438484163288,-0.17371006103523498,-0.05734759081313259,-0.2368318324455152,-0.3479131691260305,0.06142213833252521,0.05140480150422276,0.029263782416490688,-0.0048864934092133485,-0.05938146350557212,-0.2543445518545303,-0.26131534475937535,0.055525487825597124,0.04087603397635405
stylistic_analysis.rhetorical_devices.counts.anaphora,-0.01669947057284039,0.07744252275064885,0.06456387102168586,0.31819149377500344,-0.02496530104283996,0.25410695039928216,0.21334645719372064,0.27294891066730537,-0.11154304455072794,-0.06262057318265861,-0.03561698888836206,0.4849083429869244,0.4673072896557416,-0.2768280376729674,0.0855112417461854,0.16530884204141805,-0.07104795666172493,-0.054388019955918174,0.17246939535571607,0.14086490576821736,-0.1437740548702795,-0.08304991166107573,-0.05429594767510365,-0.06873974644491763,-0.02484508951924509
stylistic_analysis.rhetorical_devices.counts.paradox,0.1508864697883102,0.08758399071019707,0.1974020565174274,0.2546229708839735,0.10737879016660687,-0.12329959171681881,0.05390121066905495,-0.1184726214521583,-0.031683205845694194,-0.09861810742882801,-0.13424944308956496,0.2692965535063007,-0.2542188359177549,0.22346077393308464,0.44323855449572935,-0.25172197682584896,-0.09054292201717214,0.011901048476693895,0.09103441353393876,-0.2962927976770962,0.2028067733151292,-0.23863262096977234,0.14719153359521747,-0.08687545020481822,0.017553949552613902
stylistic_analysis.rhetorical_devices.counts.rhetorical_questions,-0.13428351937647462,0.10174789176471256,0.03384461362255371,0.25603342952104075,-0.3038991103076101,-0.15478863150753325,-0.07269469317476498,-0.34343812608024205,0.026453911382596226,0.1145736588734795,0.37149481073433477,0.10090530024532456,0.11781423037953562,-0.11550976418166306,-0.30535498790643956,-0.1723041290373268,-0.06161682596075323,-0.019145160988721162,-0.1973216598922542,0.16824520730297285,0.3476809021826123,-0.1293785455949192,0.12370060385587416,0.052857151255738796,-0.03352571170066181
stylistic_analysis.rhetorical_devices.counts.euphony,0.255201293647632,-0.06720470034930497,-0.006009794830353248,-0.16955859984945035,0.008243766249873462,0.1581268977192061,0.14571859547995253,-0.21117186049485495,-0.2053467834699165,0.10980468464488045,0.13586926261979448,0.07515991993243257,-0.05798873407622793,0.11640376412148608,-0.01630226507691131,0.06338994865944418,-0.16211013860583412,-0.17597787892972971,0.0033153714208956834,-0.0497782889879062,-0.031621483831288114,0.5530913362237234,0.08561122859450104,-0.28542753777634633,-0.2926577831967359
stylistic_analysis.rhetorical_devices.counts.enumerations,0.07815740197130426,0.02286158060466013,0.09914674449559077,-0.20455600003680915,-0.09660903256119853,-0.2228881195474792,-0.43403755076792017,0.12538894864186376,0.008242228784961132,-0.09778292534560386,-0.2578491073475649,0.5029484307294495,-0.3245905238543182,-0.24680378172459386,-0.2030338642344557,0.12284904436056905,-0.020219540247385315,-0.046421311145650256,-0.10045033218084329,0.03831244640165018,0.05004965733541577,0.026056080250977373,-0.12306002670903896,-0.0193648800844131,-0.1315238663255235
stylistic_analysis.rhetorical_devices.counts.allusions,-0.11634316573165444,-0.004607130011106759,0.27481278167714435,-0.09487554422861937,-0.09953078488960038,-0.09661260262773705,-0.130440179021263,0.3481173025500318,-0.27733289469992717,-0.02493496323493158,0.16263780521648402,-0.06819108727272172,0.003536872789355094,0.34055779903242483,0.22009661659239751,-0.22901350032425577,-0.14819342923511514,-0.028081286333602306,-0.046902837377740564,0.4239429644843432,-0.03762887278153332,0.13360171269083462,-0.21493325669685107,0.12107841741479164,0.133419845137773
stylistic_analysis.rhetorical_devices.counts.sarcasm,-0.17481401678371414,0.055496785851607555,0.2765484846057366,-0.1346653215160338,-0.11911882028371036,-0.10536214667756115,-0.09511257183536714,-0.24405025933197627,0.11853762351304256,0.009998905403573842,-0.022571724487537175,0.04783106531683391,0.28409458883487493,0.05733022583765165,-0.17143101111956274,-0.003137871972951689,0.07677401052277216,0.18364457558774763,0.41256254347156285,-0.2795898315198639,-0.12911635224201656,0.19031851157658075,-0.1217609226905861,0.24966488688382021,-0.018310417743381092
stylistic_analysis.rhetorical_devices.counts.symbolism,0.2505834176128022,0.03859353824305576,0.028526357186727812,-0.11355011887258072,-0.09997230735909128,-0.06698269930179736,0.1523640432944764,0.2850694980982665,0.03870784928606634,-0.18500402523322512,0.0818163666173164,-0.1714179120310963,-0.00884478277255737,-0.14624365789935423,0.03437610253115198,0.072967345365301,0.09326627999419504,0.5446452255941682,-0.28282033882609076,-0.05135510599228434,-0.04385295439326441,-0.10642919658565328,0.04853485817544424,0.05131686530708319,-0.13674924356519358
stylistic_analysis.rhetorical_devices.total_count,0.279160610480875,0.04721215425805129,0.25992421357809764,-0.040969722708661005,-0.23648840117875658,-0.09568499797696724,-0.11249413029046271,-0.09295748008000292,-0.053645889642523835,0.022612767095226527,0.06236214844268655,-0.027124176957398726,0.12596006799293114,-0.13706086346547905,0.1108008387330864,-0.012186550911152111,-0.1559925894408517,-0.04193325851258912,-0.10082598373269644,0.019579511668311466,0.023101693054911176,-0.020829633809568326,-0.1557621042848402,0.008631832389017087,0.03715844626457538
stylistic_analysis.rhetorical_devices.variety,0.10129232571433901,0.13712550683876135,0.3691753581017772,0.16805144407990913,-0.1879929258978118,0.18586163676165346,0.15012994609972985,-0.10723702676691607,-0.06720609995982003,-0.015684013906449575,-0.025548367505321672,-0.04472764512157455,-0.10742659742674707,0.010876719362033181,-0.015594552011510372,-0.08715266703758665,-0.04603803845495893,0.09145401379601226,0.026901859200145855,0.07422647331006905,-0.06581185536572806,0.0011225114731851918,0.19474714021777492,-0.08064475908839236,-0.24744487199020715
stylistic_analysis.sentence_rhythm.std_dev_sentence_length,-0.21580096558221382,-0.15184666618879533,0.22053373033346624,0.030511046046285906,0.16941706702805678,0.12230068034470196,0.022018893540531832,0.10070099743139464,-0.19101847460324745,-0.02791922373480884,0.019615940163858113,-0.13652422971023573,0.10013327117879398,-0.22991668307333415,-0.051323904261983536,-0.07791635398818196,-0.09900297074703378,-0.11863400413510916,-0.21832551438235318,-0.13752235342586866,0.17899264802075343,0.11979063624410509,-0.024105944810902287,-0.08024714642807995,0.013407449632161905
sentiment_analysis.average_sentiment,0.3116769015371119,-0.11789853838665669,-0.1144382942865683,0.013381760714811872,0.02746264248031169,0.0022141582166803394,0.0005779832304132966,0.07861941821070074,-0.05872422290933781,0.013654772247249678,0.011355380201445898,0.06068955790071129,-0.032051377736298285,0.07995257292896335,-0.08673068598687678,0.1644183583693604,0.13483810241430919,-0.023699188528878336,0.20131040148220078,0.04189201358636204,0.08669463224203097,0.012756602091563337,0.08538238658863019,0.16712141175479622,-0.14206050096640185
sentiment_analysis.emotional_richness,0.1042454246481695,0.12449168120834911,0.18552085094175155,0.32367863748868125,0.1486752096697975,0.06892157571101347,-0.032637532725197496,-0.03945483728595986,-0.10541760522604149,0.3049066664215621,-0.025017382459566227,0.13490190679929362,-0.01319441124818375,0.35491596987878077,-0.07693978291001377,0.3124779688804713,0.3327780340978524,0.005365468160412043,-0.393938456132843,-0.09787537310588937,-0.03949847455069342,0.09847729833805434,-0.22353572724984175,0.2878403075694556,0.002938155276190275
readability_metrics.flesch_reading_ease,0.013801370534273152,0.41182849930062226,-0.14715230840440227,-0.07942391952800726,-0.044898348484829834,-0.05852065179557371,-0.05912282261258653,0.028043427334380266,-0.09529546347079158,-0.017580837861870806,0.04554560218710506,0.033236903308343294,0.06488681512103069,0.05698817226876217,0.04912803942276909,0.019648049964523788,-0.11120224262417626,0.0718552920092871,0.007959955273937586,0.030309869519432396,-0.03156491761727741,0.07478987057739714,-0.105462113932485,-0.04670390565791237,0.11182963544288185
readability_metrics.coleman_liau_index,0.08212104974784416,-0.35019774996493724,0.08705540017749867,0.12063826477972525,-0.042875674475786135,-0.15153303825434786,0.09626396608646033,-0.013509762225051439,0.26148047354647164,-0.005412240305788266,-0.11633839131535538,0.06145010534431952,0.11473810588454772,0.20153432166241714,-0.07524740789759707,-0.19103431354674322,0.1290139130230186,-0.06766391317665495,0.014164371946740063,0.10118131355782074,-0.16761139234892358,-0.095957897963066,0.024068505510053028,-0.08968345805171901,0.10110654507994489
readability_metrics.dale_chall_readability_score,0.05083591926019579,-0.3928982610580032,0.10702685263021357,0.03582830316456719,-0.12958083178713367,-0.09927985083351397,0.0767281928340006,0.0570344250609325,0.11641111077979988,0.010399435295095396,0.013433121628879354,-0.028497282804350658,-0.014217732350728523,0.0008609605513743036,0.04106487880151125,0.0176777453164561,0.10712112103787998,-0.21255740997048067,0.1442952109532401,0.033824597059203265,0.13972402802864808,-0.039080710586627675,-0.24714550343580335,0.02235517587516071,-0.023899854290701055
readability_metrics.linsear_write_formula,-0.050757364142543546,-0.24137311545682893,0.19931966895186987,-0.06571639177067864,0.011615621535065476,-0.05530656158367465,-0.21172759731500665,0.08125809257755448,-0.30165238841166414,0.050858971373351346,0.3703938240470936,0.004734024894554734,-0.02897818140916099,0.1380859700864999,-0.12140286352633631,0.2074541739190057,-0.13381880551683542,0.11415351566260598,0.15454824775748494,-0.1725318516801586,-0.3060409912057821,-0.3675627494405366,0.2549979926400218,-0.017794829262725017,-0.18018674995679654
readability_metrics.text_standard,0.014475379923477487,-0.3345438505873632,0.13737012522393374,-0.031711157715897366,0.06052118108944572,-0.021142318444634562,0.024727452442370696,-0.09329584874200732,0.052258585330572135,-0.0305519854722887,-0.2936096525650379,0.11240719870022255,0.13976824349900915,-0.0938034868697568,-0.011153958548070128,-0.18925277079077685,-0.06779916329349049,0.14409111253096926,-0.35159143400436743,0.15088360777170165,-0.19163966930301035,0.21892982518291854,0.35627153579847887,0.22175706075796736,-0.015757008093684008
