stylistic_analysis.rhetorical_devices.counts.symbolism,stylistic_analysis.rhetorical_devices.counts.enumerations,stylistic_analysis.rhetorical_devices.counts.euphony,coherence_analysis.best_num_topics,sentiment_analysis.variance_sentiment,thematic_analysis.entropy_score,thematic_analysis.graph_density,stylistic_analysis.rhetorical_devices.counts.allegory
1,1,0,2,0.9584320769160452,0.7455574250275929,0.0,
3,2,0,2,0.37871118482500715,0.7079749057776119,1.0,
1,1,1,6,0.5930409103885115,0.5381132528060605,0.2,
0,1,0,3,0.9789643597754742,0.9499197222800561,0.13333333333333333,
1,2,0,3,0.48648253887310616,0.5961254301173212,0.3333333333333333,
2,2,1,2,0.35401167477601037,0.33464897597846643,0.3333333333333333,
1,1,0,2,0.7491632209281714,0.9349775297671233,0.2,
2,1,1,6,0.45443703954874903,0.8586727110732552,0.1388888888888889,
1,3,1,4,0.5557815347864062,0.6606757126142571,0.23809523809523808,
0,1,0,5,0.9677440200710932,0.7954488737546178,0.06666666666666667,0.0
2,1,1,2,0.398638997285224,0.5011094889988462,0.3,
1,1,1,4,0.4350102895887785,0.8010559856836269,0.42857142857142855,
0,1,0,2,0.9533875196520623,0.96110093337444,0.03636363636363636,
2,2,1,2,0.21406823127080837,0.6677527782585486,0.3333333333333333,
3,1,1,3,0.16579278258596192,0.7955648988354529,0.6,1.0
0,0,0,2,0.9513678763663059,0.9056390622295665,0.16666666666666666,
3,2,1,3,0.41377008994916264,0.8243547363398304,0.26666666666666666,
1,2,0,2,0.5090340314071885,0.46899559358928117,1.0,
0,2,0,3,0.8920196195381777,0.9163133490018099,0.10714285714285714,
1,2,0,3,0.7454752894858099,0.7180212293982637,0.14285714285714285,
1,1,1,8,0.1704047638567835,0.5211309155951538,0.2,
0,1,0,2,0.944586257524299,0.8682599776795893,0.09090909090909091,
1,1,1,5,0.30551953075158184,0.7023392365317856,0.6666666666666666,
3,1,0,4,0.5705643941043039,0.6823472767169271,0.4666666666666667,
0,1,0,4,0.842275150935252,0.7252865624344941,0.1111111111111111,
1,1,0,2,0.5189265402689562,0.7729510322715425,0.2,
1,3,0,4,0.30942267101102205,0.5407040970774404,0.3333333333333333,
0,1,0,4,0.974112116513724,0.9146984068535836,0.06666666666666667,
2,3,1,4,0.10296649091501876,0.7298466991620977,1.0,
1,1,1,4,0.18993287175755796,0.5893905718878836,0.4,
0,1,0,10,0.9803261575417301,0.46899559358928117,0.0,
2,2,0,5,0.11002634604307378,0.5487689199209769,0.3333333333333333,
1,1,1,2,0.5526130867399236,0.5267040752431784,0.3333333333333333,
1,1,0,3,0.8525698169961063,0.8560873938623892,0.3,
1,2,1,3,0.1111525071689968,0.8394415782963752,0.4666666666666667,
1,3,0,4,0.4269299612284986,0.48318813031192837,0.3,
1,1,0,8,0.9526158539937293,0.8909365694679093,0.13333333333333333,
2,2,0,4,0.6651243201204909,0.47167341781551536,0.6666666666666666,
0,3,1,8,0.33799693849143597,0.2580186686648155,0.0,0.0
1,2,0,5,0.8420113365517792,0.38824754087548435,0.0,
1,2,0,2,0.7207954482880596,0.8896129632834769,0.17857142857142858,
2,1,1,8,0.40343396223467426,0.6300790738512279,0.14285714285714285,
0,1,0,8,0.8388139954174569,0.7533334799418878,0.06666666666666667,
1,2,1,4,0.5224096245104493,0.7684626982137669,0.5,
2,2,1,5,0.689863034058367,0.7089746869722108,0.5,1.0
0,2,0,4,0.9055731090304188,0.9289932003834291,0.08888888888888889,
1,2,1,3,0.3094991068081873,0.5580383068567462,0.13333333333333333,0.0
1,1,2,3,0.08448988536650043,0.33464897597846643,0.3333333333333333,0.0
1,2,0,4,0.9847910893320154,0.8716094351158712,0.044444444444444446,
2,2,1,2,0.21407004077817257,0.3727052964167112,0.3333333333333333,
2,4,1,3,0.5117328464626164,0.33464897597846643,0.6666666666666666,
0,1,0,4,0.9142916167304502,0.9526573636515285,0.047619047619047616,
1,1,1,4,0.38691232661882197,0.7309886647187626,0.4,
1,2,1,9,0.33522280728012227,0.6216501842694789,0.3333333333333333,
0,1,0,4,0.9342367988241425,0.9172088932791937,0.2,
3,1,1,4,0.4182495754857822,0.5264143616682584,0.6666666666666666,
3,1,0,5,0.5279831364017653,0.0,0.0,
1,2,0,9,0.9118639493776609,0.8746845143040608,0.022222222222222223,
1,2,0,4,7.045507390127745e-05,0.3095434291503252,0.0,
1,1,1,3,0.4226954715840135,0.0,0.0,
0,2,0,3,0.9245212940712209,0.9767405284749316,0.0,
2,3,1,2,0.0001398606600629671,0.3727052964167112,0.3333333333333333,
1,1,1,5,0.40328278687719926,0.7161265870466756,0.21428571428571427,
1,1,0,6,0.972567566526197,0.9693498878507173,0.01904761904761905,
2,2,0,2,0.69173887742743,0.40392528723498317,0.6666666666666666,
2,2,1,2,4.2650599527929824e-05,0.5267040752431784,0.3333333333333333,
1,3,0,6,0.9339813926409661,0.8744501897863957,0.09090909090909091,
1,2,1,10,0.3625951714433387,0.5011094889988462,0.1,
3,1,1,9,0.38986378510698566,0.5772838410446852,0.3333333333333333,
1,3,0,2,0.9110041132425579,0.9805402605435627,0.006535947712418301,
2,2,1,4,0.3664394277610627,0.5759200477570119,0.3,
2,2,1,2,0.32671357671426804,0.2761954276479391,1.0,0.0
0,1,0,2,0.8792562396421199,0.9609640474436812,0.16666666666666666,
1,3,1,3,0.11977282935288218,0.6159908907005701,0.6666666666666666,
1,1,2,9,0.4031848689004814,0.46372396160615587,0.16666666666666666,
0,1,0,7,0.6808183928117858,0.9609640474436812,0.0,
2,1,1,5,0.4920207205821545,0.5205367701154832,0.1,
1,1,1,4,0.09922778248931481,0.3589962496465304,0.3333333333333333,
1,1,0,5,0.972395842287035,0.7464149607974074,0.1111111111111111,0.0
2,2,1,3,0.33226056671965654,0.2974722489192897,0.0,
2,1,0,3,0.46028162302532144,0.4560725552838437,0.6666666666666666,
1,3,0,6,0.9082974706616611,0.882688042457222,0.1978021978021978,
1,1,1,4,0.29555623051092145,0.7416130984854556,0.3333333333333333,
1,2,1,5,0.32519691220698216,0.6678971982446581,0.13333333333333333,
0,1,0,2,0.9324017587897534,0.9731973151785934,0.027777777777777776,0.0
1,2,1,6,0.30498575103599124,0.8390974419694665,0.3333333333333333,
2,2,1,7,0.1720735873738092,0.6239428985715834,0.14285714285714285,
1,1,0,4,0.8659122892736515,0.8836333707797247,0.06666666666666667,
1,2,0,4,0.21213850100379572,0.5487689199209769,0.16666666666666666,
2,3,0,10,0.46569323575190946,0.5893905718878836,0.5,0.0
1,1,0,3,0.9632263373719975,0.8537510532665805,0.23809523809523808,
1,2,0,4,0.532091685914241,0.9533121741089737,0.3055555555555556,
1,1,0,5,0.7409970653926812,0.5267040752431784,0.5,
1,2,0,3,0.9788655850707639,0.9229451190312816,0.1111111111111111,0.0
2,1,1,3,0.6776257907072002,0.6802636557218542,0.5,1.0
2,1,1,10,0.3801435043460035,0.494090418502338,0.3333333333333333,
1,1,0,6,0.952117250586572,0.8601348703972934,0.09090909090909091,
2,2,1,6,0.6378964734121827,0.7463586831060366,0.3333333333333333,
2,2,0,3,0.17386801874429134,0.42802721870636873,0.6666666666666666,
1,1,0,6,0.8414225690645006,0.7999740608261923,0.05555555555555555,
2,5,0,2,0.20552526317662578,0.8247369178800421,0.4,
3,1,1,3,0.24917230434660184,0.7085235399700907,0.4,0.0
2,3,0,2,0.9580343769258247,0.897460200818325,0.14285714285714285,
1,2,0,7,0.30075764857698367,0.6528150408758518,0.5,
1,3,1,5,0.3876599006738742,0.8348096339550949,0.2857142857142857,
1,1,0,6,0.9745846642029555,0.9311059171410296,0.05454545454545454,
3,2,1,3,0.20809468145064414,0.730575625720059,0.3333333333333333,
1,2,3,6,0.6487670413862688,0.47838285418315724,0.5,
0,1,0,4,0.9638341812379906,0.9755037590061088,0.0,
1,3,0,7,0.4301584400501929,0.8112781244591329,0.6666666666666666,
3,2,0,6,0.15669840431985557,0.6000430042650237,0.6666666666666666,
1,4,0,7,0.9810313592788711,0.7020351805046965,0.4666666666666667,0.0
1,1,0,7,0.6065545803051237,0.595905918112551,0.6666666666666666,
3,1,1,3,0.4108517191506002,0.47838285418315724,0.5,
1,2,0,5,0.9553578600365529,0.8639310753591652,0.03571428571428571,
1,2,1,2,0.2884772301420176,0.8280850482649333,0.14285714285714285,
1,2,1,3,0.26782085179537873,0.40904799648553203,0.5,
0,2,0,5,0.8610601141236935,0.979569764547061,0.047619047619047616,
2,2,1,2,0.3771605267444512,0.7402395000567985,0.3,1.0
2,2,0,3,0.40568785848943506,0.812358977460423,0.13333333333333333,
0,3,0,10,0.8850239175014195,0.948450312207479,0.07142857142857142,
2,2,0,2,0.2682152964439722,0.860686636860086,0.17857142857142858,
2,1,1,4,0.17282547261562536,0.26676498780302604,1.0,
1,2,0,3,0.7532810244459726,0.8852130207431889,0.10714285714285714,
1,2,1,10,0.30464963235627596,0.5066818470208007,0.6666666666666666,
1,1,1,3,6.255534233751832e-05,0.26676498780302604,0.0,
1,1,0,3,0.915979217059885,0.8687463095511299,0.14285714285714285,
2,2,1,7,0.184610491990857,0.7199877141320896,0.6666666666666666,
1,2,1,3,0.4346001430133642,0.0,0.0,
1,2,0,3,0.8965763367681043,0.9606293157795305,0.01818181818181818,
1,1,1,3,0.5364593643609208,0.6500224216483541,1.0,
2,1,0,4,0.4052315790446797,0.6919331647988415,0.3333333333333333,0.0
0,1,0,10,0.8650080504644043,0.9517961807358447,0.07142857142857142,
2,2,0,9,0.11647417585707873,0.47599704095439155,0.16666666666666666,
1,2,1,9,0.38706537159770643,0.487489620974888,0.2,
0,1,0,2,0.9812375413526134,0.9549080284177107,0.08333333333333333,
2,2,2,7,1.630297335094042e-05,0.7091809721940124,0.26666666666666666,
3,2,1,8,0.6811785337021201,0.3042211976516049,0.3333333333333333,
1,2,0,7,0.8573526845318112,0.9342869468593712,0.12727272727272726,
2,3,1,7,8.439278939415606e-06,0.3227569588973983,1.0,
2,1,1,3,0.2585851646643141,0.33464897597846643,0.6666666666666666,
2,2,0,2,0.9235416194802726,0.7783853970487746,0.3,
1,2,1,2,0.08133962700735985,0.7644009072626592,0.5,
2,2,1,5,0.40731420186078393,0.5316074859587776,0.13333333333333333,
1,2,0,4,0.9538999466907437,0.9461445256397004,0.030303030303030304,
2,2,1,5,0.7112404787119031,0.5759200477570119,0.1,
2,2,0,2,0.5379898837958578,0.7599195715218965,0.5,
2,2,0,6,0.9220559003850777,0.9544017132687866,0.08771929824561403,
1,1,0,2,0.5572418070543559,0.8196605248971294,0.6666666666666666,
1,2,0,2,0.19060036290324747,0.6283898247235197,0.5,
1,1,0,6,0.9506408903112052,0.8389512252189318,0.04395604395604396,0.0
2,1,0,2,0.3249433135266472,0.5066818470208008,0.3333333333333333,
1,1,1,3,0.2634246731626699,0.8239430818816527,0.38095238095238093,
1,1,0,4,0.8218483371899027,0.8467656864304008,0.0,0.0
2,1,1,4,0.6117620971848364,0.6859729510964621,0.2,
2,2,1,3,0.46474401841673463,0.860033024165166,0.5,
0,2,0,5,0.9744492916912912,0.8668068791483912,0.1388888888888889,
1,1,1,2,0.3100289970193667,0.6643316545871262,0.6666666666666666,
2,2,0,3,0.70101317235951,0.2580186686648155,0.0,
3,2,0,9,0.960333951422344,0.9183721282145971,0.1111111111111111,
1,3,1,5,0.10679265191701945,0.7692552373208172,0.6666666666666666,
2,2,1,3,0.005555897002643501,0.45001121082417717,0.3333333333333333,0.0
2,2,0,4,0.694175598415691,0.9440847282550949,0.03296703296703297,
2,1,1,2,0.3085008597828661,0.8201282514918863,0.4,
2,1,0,6,0.5936889714819488,0.7123673094658131,0.3333333333333333,
1,1,0,5,0.9849315582566393,0.9881090915741206,0.0,
2,1,1,4,0.4414542824229157,0.6892094263601617,0.16666666666666666,
2,2,1,3,0.520426513433962,0.4237923399122869,0.16666666666666666,
0,1,0,8,0.7123792926051699,0.935944697445866,0.13333333333333333,
1,2,1,2,0.2787726092820434,0.5109640474436811,0.3333333333333333,0.0
2,2,1,4,0.28303738441373166,0.0,0.0,
0,2,0,7,0.8069617389035821,0.9467140668718961,0.0,
2,1,1,6,0.3026737661026864,0.6444666452025872,0.6666666666666666,
2,3,2,5,0.6508262347086594,0.2580186686648155,1.0,
1,1,0,3,0.9591411550660727,0.9750656322073751,0.08888888888888889,
2,2,1,3,0.20438080839164408,0.3727052964167112,0.6666666666666666,
2,2,1,6,0.08579855191708684,0.4153735007338398,0.3333333333333333,
1,2,0,5,0.9366071462329657,0.9058749216946692,0.10256410256410256,
2,1,0,10,0.43177973562460775,0.0,0.0,
2,2,0,6,0.16026192495425146,0.4247773879943637,0.5,
